timestamp,trading_day,session_id,scan_id,scan_timestamp,market_session,decision_time_bucket,is_regular_market,is_auto_entry_window,is_after_close,minutes_from_open,minutes_to_close,gate_mode,min_rr_used,min_setup_used,symbol,decision,reason,trade_key,top_candidate,setup_percent,rr,setup_valid,execution_ready,scanner_recommendation,execution_eligibility,execution_outcome,execution_reason,trade_status,telegram_status,telegram_reason,realtime_ready,affordable,paper_affordability_override,original_affordable,original_affordability_status,original_option_contract_cost,original_max_allowed_contract_cost,price_geometry_ok,price_geometry_error,scanner_output_age_minutes,allow_review_tv_chart_auto_paper,review_validation_candidate,real_trading_enabled,real_alerts_only,paper_trade_opened,real_trade_readiness,real_review_scan_count,real_entry_checklist,action_status,blocked_by,scanner_blocked_by,action_reason,option_rejection_reason,realtime_block_reason,option_quality_score,option_spread_pct,option_quote_freshness,expiration_bucket,early_watch_status,early_watch_reason,would_pass_gate_if_rr_1_7,would_pass_gate_if_setup_65,would_pass_gate_if_review_allowed,late_entry_risk,missed_move_type
2026-07-29 14:56:26,2026-07-29,paper_validation_2026-07-29,2026-07-29_145626,2026-07-29 14:56:26,AUTO_ENTRY_WINDOW,AUTO_ENTRY_WINDOW,True,True,False,326.44,63.56,auto_paper,1.8,70.0,NVDA,SKIPPED,"MISSING_SCANNER_FIELDS:Setup Valid,Candidate Entry Price,Candidate Stop Price,Candidate Target Price,Candidate RR,Next Condition,Live Chart Checklist",,,,,,,ENTRY_RECOMMENDED,PENDING,PENDING,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,ENTER_PAPER,,,,,,,,,,,,,,,,
2026-07-29 14:56:26,2026-07-29,paper_validation_2026-07-29,2026-07-29_145626,2026-07-29 14:56:26,AUTO_ENTRY_WINDOW,AUTO_ENTRY_WINDOW,True,True,False,326.44,63.56,auto_paper,1.8,70.0,SYSTEM,SKIPPED,auto paper enabled; no eligible entry candidates and no symbol rows found,,,,,,,,,SKIPPED,auto paper enabled; no eligible entry candidates and no symbol rows found,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-29 14:56:46,2026-07-29,paper_validation_2026-07-29,2026-07-29_145646,2026-07-29 14:56:46,AUTO_ENTRY_WINDOW,AUTO_ENTRY_WINDOW,True,True,False,326.77,63.23,auto_paper,1.8,70.0,NVDA,SKIPPED,"MISSING_SCANNER_FIELDS:Setup Valid,Candidate Entry Price,Candidate Stop Price,Candidate Target Price,Candidate RR,Next Condition,Live Chart Checklist",,,,,,,ENTRY_RECOMMENDED,PENDING,PENDING,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,ENTER_PAPER,,,,,,,,,,,,,,,,
2026-07-29 14:56:46,2026-07-29,paper_validation_2026-07-29,2026-07-29_145646,2026-07-29 14:56:46,AUTO_ENTRY_WINDOW,AUTO_ENTRY_WINDOW,True,True,False,326.77,63.23,auto_paper,1.8,70.0,SYSTEM,SKIPPED,auto paper enabled; no eligible entry candidates and no symbol rows found,,,,,,,,,SKIPPED,auto paper enabled; no eligible entry candidates and no symbol rows found,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-29 15:06:19,2026-07-29,paper_validation_2026-07-29,2026-07-29_150619,2026-07-29 15:06:19,AUTO_ENTRY_WINDOW,AUTO_ENTRY_WINDOW,True,True,False,336.32,53.68,auto_paper,1.8,70.0,NVDA,SKIPPED,"MISSING_SCANNER_FIELDS:Setup Valid,Candidate Entry Price,Candidate Stop Price,Candidate Target Price,Candidate RR,Next Condition,Live Chart Checklist",,,,,,,ENTRY_RECOMMENDED,PENDING,PENDING,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,ENTER_PAPER,,,,,,,,,,,,,,,,
2026-07-29 15:06:19,2026-07-29,paper_validation_2026-07-29,2026-07-29_150619,2026-07-29 15:06:19,AUTO_ENTRY_WINDOW,AUTO_ENTRY_WINDOW,True,True,False,336.32,53.68,auto_paper,1.8,70.0,SYSTEM,SKIPPED,auto paper enabled; no eligible entry candidates and no symbol rows found,,,,,,,,,SKIPPED,auto paper enabled; no eligible entry candidates and no symbol rows found,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-29 21:48:07,2026-07-29,paper_validation_2026-07-29,2026-07-29_214807,2026-07-29 21:48:07,AFTER_CLOSE,AFTER_CLOSE,False,False,True,738.12,-348.12,auto_paper,1.8,70.0,SYSTEM,SKIPPED,outside auto-entry window,,,,,,,,,SKIPPED,outside auto-entry window,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-29 21:48:07,2026-07-29,paper_validation_2026-07-29,2026-07-29_214807,2026-07-29 21:48:07,AFTER_CLOSE,AFTER_CLOSE,False,False,True,738.12,-348.12,auto_paper,1.8,70.0,NVDA,SKIPPED,outside auto-entry window,,,,,,,ENTRY_RECOMMENDED,PENDING,PENDING,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,ENTER_PAPER,,,,,,,,,,,,,,,,
2026-07-29 21:58:16,2026-07-29,paper_validation_2026-07-29,2026-07-29_215816,2026-07-29 21:58:16,AFTER_CLOSE,AFTER_CLOSE,False,False,True,748.28,-358.28,auto_paper,1.8,70.0,NVDA,SKIPPED,outside auto-entry window,,,,,,,ENTRY_RECOMMENDED,PENDING,PENDING,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,ENTER_PAPER,,,,,,,,,,,,,,,,
2026-07-29 22:01:15,2026-07-29,paper_validation_2026-07-29,2026-07-29_220115,2026-07-29 22:01:15,AFTER_CLOSE,AFTER_CLOSE,False,False,True,751.27,-361.27,auto_paper,1.8,70.0,NVDA,SKIPPED,outside auto-entry window,,,,,,,ENTRY_RECOMMENDED,PENDING,PENDING,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,,,,,,,,,,,,,,,,,,,ENTER_PAPER,,,,,,,,,,,,,,,,
