trading_day,session_id,scan_id,observed_at,market_session,is_auto_entry_window,candidate_key,symbol,direction,setup_type,option_ticker,top_candidate,final_signal,action_status,action_reason,realtime_ready,blocked_by,realtime_block_reason,option_quote_freshness,option_quote_timestamp,option_quote_checked_at,option_quote_timeframe,option_quote_source,option_quote_timestamp_field,option_quote_age_minutes,option_quote_age_seconds,option_quote_allowed_age_seconds,option_quote_freshness_reason,option_quote_retry_count,option_quote_latency_ms,option_quote_refresh_time,option_quality_score,option_spread_pct,expiration_bucket,affordable,affordability_status,option_contract_cost,setup_percent,rr,entry_price,stop_loss,take_profit,market_regime,reference_regime,score,candidate_rank,entry_readiness,trend_health,previous_rank,rank_change,promotion_reason,demotion_reason,state_label
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,QQQ|EMA_PULLBACK|EMA_PULLBACK|,QQQ,EMA_PULLBACK,EMA_PULLBACK,,,BULLISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,LOW_RR,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,59,0.73,,684.84,690.8,RANGE_BOUND,HIGH_VOLATILITY,12.2,13,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|LOW_RR
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,SPY|EMA_PULLBACK|EMA_PULLBACK|,SPY,EMA_PULLBACK,EMA_PULLBACK,,,BULLISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,LOW_RR,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,59,0.39,,739.61,744.79,LOW_VOLATILITY,HIGH_VOLATILITY,9.8,24,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|LOW_RR
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,NVDA|CALL|ACTIVE_TRADE|,NVDA,CALL,ACTIVE_TRADE,,BULLISH_TOP_2,BULLISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,DELAYED_DATA_CONFIRM_LIVE_CHART,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,85,2.29,196.84,195.85,199.09,TRENDING_BULL,HIGH_VOLATILITY,12.5,18,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|DELAYED_DATA_CONFIRM_LIVE_CHART
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,AAPL|EMA_REJECTION_SHORT|EMA_REJECTION_SHORT|,AAPL,EMA_REJECTION_SHORT,EMA_REJECTION_SHORT,,BEARISH_TOP_1,BEARISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,RISK_REJECTED,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,42,2.23,,315.75,304.72,HIGH_VOLATILITY,HIGH_VOLATILITY,-5.5,26,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|RISK_REJECTED
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,MSFT|NO_ENTRY|NO_ENTRY|,MSFT,NO_ENTRY,NO_ENTRY,,,NEUTRAL,NO_TRADE_MARKET_CLOSED,Market closed; no live intraday trade,False,NO_DIRECTIONAL_EDGE,,,,,,,,,,,,,,,,,,,,,5,0.0,,,,RANGE_BOUND,HIGH_VOLATILITY,-0.8,2,,,,,,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,AMZN|EMA_PULLBACK|EMA_PULLBACK|,AMZN,EMA_PULLBACK,EMA_PULLBACK,,BULLISH_TOP_1,BULLISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,RISK_REJECTED,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,59,3.46,,256.6,262.86,HIGH_VOLATILITY,HIGH_VOLATILITY,8.5,21,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|RISK_REJECTED
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,META|EMA_PULLBACK|EMA_PULLBACK|,META,EMA_PULLBACK,EMA_PULLBACK,,,BULLISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,LOW_RR,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,35,1.14,,540.04,545.83,RANGE_BOUND,HIGH_VOLATILITY,4.8,19,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|LOW_RR
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,TSLA|NO_ENTRY|NO_ENTRY|,TSLA,NO_ENTRY,NO_ENTRY,,,BULLISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,NO_ENTRY_TRIGGER,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,24,0.75,,307.55,310.26,RANGE_BOUND,HIGH_VOLATILITY,4.2,25,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|NO_ENTRY_TRIGGER
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,AMD|NO_ENTRY|NO_ENTRY|,AMD,NO_ENTRY,NO_ENTRY,,,NEUTRAL,NO_TRADE_MARKET_CLOSED,Market closed; no live intraday trade,False,NO_DIRECTIONAL_EDGE,,,,,,,,,,,,,,,,,,,,,4,0.0,,,,HIGH_VOLATILITY,HIGH_VOLATILITY,1.0,20,,,,,,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE
2026-07-31,paper_validation_2026-07-31,2026-07-31_003816,2026-07-31 00:39:12,PREMARKET,False,AVGO|EMA_PULLBACK|EMA_PULLBACK|,AVGO,EMA_PULLBACK,EMA_PULLBACK,,,BULLISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,LOW_RR,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,59,1.19,,388.65,392.92,RANGE_BOUND,HIGH_VOLATILITY,8.8,7,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|LOW_RR
