trading_day,scan_id,observed_at,symbol,score,category_score,setup,action,blocked_reason,top_candidate,candidate_scan_count,candidate_best_score,candidate_score_delta,candidate_strengthening,market_move_pct,final_outcome
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,QQQ,12.2,6,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,2.52,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,SPY,9.8,5,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,1.22,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,NVDA,12.5,8,ACTIVE_TRADE,STALE_STOCK_DATA,DELAYED_DATA_CONFIRM_LIVE_CHART,BULLISH_TOP_2,1,12.5,,False,1.63,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,AAPL,-5.5,-6,EMA_REJECTION_SHORT,STALE_STOCK_DATA,RISK_REJECTED,BEARISH_TOP_1,,,,,-6.96,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,MSFT,-0.8,3,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,5.12,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,AMZN,8.5,6,EMA_PULLBACK,STALE_STOCK_DATA,RISK_REJECTED,BULLISH_TOP_1,,,,,10.82,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,META,4.8,4,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,3.26,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,TSLA,4.2,-3,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,1.49,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,AMD,1.0,5,NO_ENTRY,NO_TRADE_MARKET_CLOSED,NO_DIRECTIONAL_EDGE,,,,,,10.46,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,AVGO,8.8,5,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,3.17,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,MU,4.0,5,EMA_PULLBACK,STALE_STOCK_DATA,RISK_REJECTED,,,,,,17.04,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,PLTR,8.2,5,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,1.13,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,NFLX,9.2,5,EMA_PULLBACK,STALE_STOCK_DATA,LOW_RR,,,,,,0.77,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,CRWD,12.0,9,NO_ENTRY,STALE_STOCK_DATA,NO_ENTRY_TRIGGER,,,,,,2.2,NO_REPLAY
2026-07-31,2026-07-31_003816,2026-07-31T00:39:14.541582-04:00,SMCI,11.5,9,EMA_PULLBACK,STALE_STOCK_DATA,RISK_REJECTED,,,,,,6.4,NO_REPLAY
