candidate_id,trading_day,symbol,direction,setup,first_seen_at,last_seen_at,scan_count,rr,setup_score,entry_timing_score,entry_timing_grade,trade_quality_score,entry_priority_adjustment,expected_remaining_trend,projected_entry_grade,ranking_score,candidate_rank,holding_profile,option_quality,trend_health,regime,top_candidate,quote_freshness,rule_evaluation,scanner_recommendation,execution_eligibility,execution_outcome,execution_reason,trade_status,telegram_status,telegram_reason,decision,latest_decision,first_actionable_decision,first_actionable_at,first_actionable_scan_id,decision_history,auto_paper_decision,auto_paper_blocked_by,suggestion_status,paper_trade_status,entered,replay_outcome,target_first,stop_first,winner,missed_winner,final_r,trend_capture,mfe,tes,engineering_root_cause,evidence_updated_at,candidate_outcome,verdict,missed_winner_type,recommended_action,is_good_candidate,is_blocked
2d1b14e5aaf41b0063c6ba36,2026-07-31,ARM,NONE,EMA_PULLBACK,2026-07-30 19:57:00 EDT,2026-07-30 19:57:00 EDT,1,1.78,59.0,15.35,LATE_ENTRY,37.85,-30.0,2.07,C,7.85,17.0,INTRADAY,,,HIGH_VOLATILITY,,,RISK_REJECTED,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-30 19:57:00 EDT', 'scan_id': None, 'reason': 'Stock aggregate data is not real-time', 'blocked_by': 'RISK_REJECTED'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
725b05bc05440dc66c6a0690,2026-07-31,AVGO,,EMA_PULLBACK,2026-07-31 00:39:14,2026-07-31 01:12:56,4,1.17,59.0,27.41,LATE_ENTRY,41.61,0.0,22.13,C,41.61,7.0,,,,RANGE_BOUND,,,LOW_RR,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-31 00:39:14', 'scan_id': '2026-07-31_003816', 'reason': None, 'blocked_by': 'LOW_RR'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,LOW_RR,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
ccc314ed3c17b00d12655de9,2026-07-31,AVGO,NONE,EMA_PULLBACK,2026-07-30 19:57:00 EDT,2026-07-30 19:57:00 EDT,1,1.17,59.0,27.41,LATE_ENTRY,41.61,0.0,22.13,C,41.61,7.0,INTRADAY,,,RANGE_BOUND,,,LOW_RR,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-30 19:57:00 EDT', 'scan_id': None, 'reason': 'Stock aggregate data is not real-time', 'blocked_by': 'LOW_RR'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,LOW_RR,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
a055afcb6dbbe518f78b880a,2026-07-31,CRWD,,NO_ENTRY,2026-07-31 00:39:14,2026-07-31 01:12:56,4,2.33,59.0,17.05,LATE_ENTRY,38.44,-30.0,2.56,C,8.44,16.0,,,,TRENDING_BULL,BULLISH_TOP_3,,NO_ENTRY_TRIGGER,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-31 00:39:14', 'scan_id': '2026-07-31_003816', 'reason': None, 'blocked_by': 'NO_ENTRY_TRIGGER'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,NO_ENTRY_TRIGGER,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
e119572127a4f5e41fc73366,2026-07-31,CRWD,NONE,NO_ENTRY,2026-07-30 19:52:00 EDT,2026-07-30 19:52:00 EDT,1,2.33,59.0,17.05,LATE_ENTRY,38.44,-30.0,2.56,C,8.44,16.0,INTRADAY,,,TRENDING_BULL,BULLISH_TOP_3,,NO_ENTRY_TRIGGER,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-30 19:52:00 EDT', 'scan_id': None, 'reason': 'Stock aggregate data is not real-time', 'blocked_by': 'NO_ENTRY_TRIGGER'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,NO_ENTRY_TRIGGER,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
0811614bb7bea9182d8f31ae,2026-07-31,INTC,,EMA_PULLBACK,2026-07-31 00:39:14,2026-07-31 00:53:18,2,2.36,53.0,28.48,LATE_ENTRY,43.95,0.0,17.04,C,43.95,3.0,,,,HIGH_VOLATILITY,,,RISK_REJECTED,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-31 00:39:14', 'scan_id': '2026-07-31_003816', 'reason': None, 'blocked_by': 'RISK_REJECTED'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,RISK_REJECTED,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
ce0b9f088a625db17025193e,2026-07-31,INTC,,NO_ENTRY,2026-07-31 00:41:30,2026-07-31 01:12:56,2,2.22,49.0,26.88,LATE_ENTRY,42.63,0.0,15.7,C,42.63,6.0,,,,HIGH_VOLATILITY,,,NO_ENTRY_TRIGGER,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-31 00:41:30', 'scan_id': '2026-07-31_004034', 'reason': None, 'blocked_by': 'NO_ENTRY_TRIGGER'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,NO_ENTRY_TRIGGER,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
d9636135a5df49925237490d,2026-07-31,INTC,NONE,NO_ENTRY,2026-07-30 19:57:00 EDT,2026-07-30 19:57:00 EDT,1,2.22,49.0,26.88,LATE_ENTRY,42.63,0.0,15.7,C,42.63,6.0,INTRADAY,,,HIGH_VOLATILITY,,,NO_ENTRY_TRIGGER,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-30 19:57:00 EDT', 'scan_id': None, 'reason': 'Stock aggregate data is not real-time', 'blocked_by': 'NO_ENTRY_TRIGGER'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,NO_ENTRY_TRIGGER,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
2524010e00fedfeccab29786,2026-07-31,LRCX,,NO_ENTRY,2026-07-31 00:39:14,2026-07-31 01:12:56,4,2.22,59.0,12.11,LATE_ENTRY,41.99,-30.0,6.23,C,11.99,12.0,,,,HIGH_VOLATILITY,,,NO_ENTRY_TRIGGER,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-31 00:39:14', 'scan_id': '2026-07-31_003816', 'reason': None, 'blocked_by': 'NO_ENTRY_TRIGGER'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,NO_ENTRY_TRIGGER,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
4bdf47b901d02a35e9402f0a,2026-07-31,LRCX,NONE,NO_ENTRY,2026-07-30 19:57:00 EDT,2026-07-30 19:57:00 EDT,1,2.22,59.0,12.11,LATE_ENTRY,41.99,-30.0,6.23,C,11.99,12.0,INTRADAY,,,HIGH_VOLATILITY,,,NO_ENTRY_TRIGGER,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,STALE_STOCK_DATA,STALE_STOCK_DATA,,,,"[{'decision': 'STALE_STOCK_DATA', 'observed_at': '2026-07-30 19:57:00 EDT', 'scan_id': None, 'reason': 'Stock aggregate data is not real-time', 'blocked_by': 'NO_ENTRY_TRIGGER'}]",,,,,False,NO_REPLAY,False,False,False,False,,,,,NO_ENTRY_TRIGGER,2026-07-31T00:12:57,NEUTRAL,Neutral,,Observe; DO NOT CHANGE RULE.,False,True
