observed_at_utc,trading_day,scan_id,category,stage,page,seconds,metadata
2026-07-31T04:39:12.894007+00:00,2026-07-31,2026-07-31_003816,scanner,run_scanner,,56.81,"{""symbols"": 26, ""workers"": 5}"
2026-07-31T04:41:29.255436+00:00,2026-07-31,2026-07-31_004034,scanner,run_scanner,,54.89,"{""symbols"": 26, ""workers"": 5}"
2026-07-31T04:53:16.754792+00:00,2026-07-31,2026-07-31_005221,scanner,run_scanner,,55.02,"{""symbols"": 26, ""workers"": 5}"
2026-07-31T05:12:55.178317+00:00,2026-07-31,2026-07-31_011159,scanner,run_scanner,,55.76,"{""symbols"": 26, ""workers"": 5}"
