trading_day,session_id,scan_id,observed_at,market_session,is_auto_entry_window,candidate_key,symbol,direction,setup_type,option_ticker,top_candidate,final_signal,action_status,action_reason,realtime_ready,blocked_by,realtime_block_reason,option_quote_freshness,option_quote_timestamp,option_quote_checked_at,option_quote_timeframe,option_quote_source,option_quote_timestamp_field,option_quote_age_minutes,option_quote_age_seconds,option_quote_allowed_age_seconds,option_quote_freshness_reason,option_quote_retry_count,option_quote_latency_ms,option_quote_refresh_time,option_quality_score,option_spread_pct,expiration_bucket,affordable,affordability_status,option_contract_cost,setup_percent,rr,entry_price,stop_loss,take_profit,market_regime,reference_regime,score,candidate_rank,entry_readiness,trend_health,previous_rank,rank_change,promotion_reason,demotion_reason,state_label
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,QQQ|EMA_REJECTION_SHORT|EMA_REJECTION_SHORT|,QQQ,EMA_REJECTION_SHORT,EMA_REJECTION_SHORT,,,BEARISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,LOW_RR,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,59,0.53,,687.89,682.64,LOW_VOLATILITY,RANGE_BOUND,-9.2,20,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|LOW_RR
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,SPY|VWAP_REJECTION|VWAP_REJECTION|,SPY,VWAP_REJECTION,VWAP_REJECTION,,,BEARISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,LOW_RR,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,59,0.34,,747.92,742.93,LOW_VOLATILITY,RANGE_BOUND,-9.2,10,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|LOW_RR
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,NVDA|NO_ENTRY|NO_ENTRY|,NVDA,NO_ENTRY,NO_ENTRY,,,NEUTRAL,NO_TRADE_MARKET_CLOSED,Market closed; no live intraday trade,False,NO_DIRECTIONAL_EDGE,,,,,,,,,,,,,,,,,,,,,8,0.0,,,,RANGE_BOUND,RANGE_BOUND,-1.8,7,,,,,,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,AAPL|NO_ENTRY|NO_ENTRY|,AAPL,NO_ENTRY,NO_ENTRY,,,NEUTRAL,NO_TRADE_MARKET_CLOSED,Market closed; no live intraday trade,False,NO_DIRECTIONAL_EDGE,,,,,,,,,,,,,,,,,,,,,5,0.0,,,,RANGE_BOUND,RANGE_BOUND,1.2,18,,,,,,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,MSFT|EMA_PULLBACK|EMA_PULLBACK|,MSFT,EMA_PULLBACK,EMA_PULLBACK,,BULLISH_TOP_2,BULLISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,LOW_RR,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,58,0.74,,459.5,463.52,RANGE_BOUND,RANGE_BOUND,7.8,2,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|LOW_RR
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,AMZN|NO_ENTRY|NO_ENTRY|,AMZN,NO_ENTRY,NO_ENTRY,,,BULLISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,NO_ENTRY_TRIGGER,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,14,0.0,,,,RANGE_BOUND,RANGE_BOUND,2.2,4,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|NO_ENTRY_TRIGGER
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,META|NO_ENTRY|NO_ENTRY|,META,NO_ENTRY,NO_ENTRY,,,NEUTRAL,NO_TRADE_MARKET_CLOSED,Market closed; no live intraday trade,False,NO_DIRECTIONAL_EDGE,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,RANGE_BOUND,RANGE_BOUND,0.0,26,,,,,,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,TSLA|NO_ENTRY|NO_ENTRY|,TSLA,NO_ENTRY,NO_ENTRY,,,NEUTRAL,NO_TRADE_MARKET_CLOSED,Market closed; no live intraday trade,False,NO_DIRECTIONAL_EDGE,,,,,,,,,,,,,,,,,,,,,6,0.0,,,,RANGE_BOUND,RANGE_BOUND,-1.5,8,,,,,,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,AMD|NO_ENTRY|NO_ENTRY|,AMD,NO_ENTRY,NO_ENTRY,,,BEARISH,STALE_STOCK_DATA,Stock aggregate data is not real-time,False,NO_ENTRY_TRIGGER,REALTIME_STOCK_DATA_REQUIRED,,,,,,,,,,,,,,,,,,,,38,0.0,,468.27,480.67,HIGH_VOLATILITY,RANGE_BOUND,-6.5,22,,,,,,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|NO_ENTRY_TRIGGER
2026-08-01,paper_validation_2026-08-01,2026-08-01_000919,2026-08-01 00:09:39,PREMARKET,False,AVGO|NO_ENTRY|NO_ENTRY|,AVGO,NO_ENTRY,NO_ENTRY,,,NEUTRAL,NO_TRADE_MARKET_CLOSED,Market closed; no live intraday trade,False,NO_DIRECTIONAL_EDGE,,,,,,,,,,,,,,,,,,,,,6,0.0,,,,RANGE_BOUND,RANGE_BOUND,1.2,5,,,,,,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE
