observed_at_utc,trading_day,scan_id,category,stage,page,seconds,metadata
2026-07-27T21:01:20.078950+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-27T21:01:46.743137+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-27T21:02:00.898460+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-27T21:02:31.076330+00:00,,,telegram,send_telegram_alert,,0.0001,{}
2026-07-27T21:07:11.227321+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-27T21:07:57.243801+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-27T21:16:20.529755+00:00,,,telegram,send_telegram_alert,,1.0436,{}
2026-07-27T21:16:21.452316+00:00,,,telegram,send_telegram_alert,,0.8873,{}
2026-07-27T21:16:22.379102+00:00,,,telegram,send_telegram_alert,,0.8967,{}
2026-07-27T21:16:23.308063+00:00,,,telegram,send_telegram_alert,,0.9015,{}
2026-07-27T21:16:24.256607+00:00,,,telegram,send_telegram_alert,,0.925,{}
2026-07-27T21:16:28.322915+00:00,,,telegram,send_telegram_alert,,4.0364,{}
2026-07-27T21:16:29.406694+00:00,,,telegram,send_telegram_alert,,1.0515,{}
2026-07-27T21:16:30.477433+00:00,,,telegram,send_telegram_alert,,1.0441,{}
2026-07-27T21:47:26.691812+00:00,,,telegram,send_telegram_alert,,1.1515,{}
2026-07-27T21:47:27.614269+00:00,,,telegram,send_telegram_alert,,0.8787,{}
2026-07-27T21:47:28.525977+00:00,,,telegram,send_telegram_alert,,0.8816,{}
2026-07-27T21:47:29.424131+00:00,,,telegram,send_telegram_alert,,0.8676,{}
2026-07-27T21:47:30.298629+00:00,,,telegram,send_telegram_alert,,0.8491,{}
2026-07-27T21:47:34.304603+00:00,,,telegram,send_telegram_alert,,3.9782,{}
2026-07-27T21:47:35.245558+00:00,,,telegram,send_telegram_alert,,0.91,{}
2026-07-27T21:47:36.168437+00:00,,,telegram,send_telegram_alert,,0.8893,{}
2026-07-28T23:20:31.371392+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-28T23:29:59.591029+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-28T23:54:45.006244+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-28T23:55:13.871721+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-29T00:32:33.982165+00:00,2026-07-28,,dashboard,page_render,Trading,0.0433,{}
2026-07-29T00:49:40.281333+00:00,2026-07-28,,dashboard,page_render,Trading,0.0293,{}
2026-07-29T00:58:47.539000+00:00,2026-07-28,,dashboard,page_render,Trading,0.0375,{}
2026-07-29T01:28:40.810976+00:00,2026-07-28,,dashboard,page_render,Trading,0.0358,{}
2026-07-30T12:53:22.299223+00:00,2026-07-30,,dashboard,page_render,Trading,0.0868,{}
2026-08-01T04:09:39.405070+00:00,2026-08-01,2026-08-01_000919,scanner,run_scanner,,19.62,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:12:19.960515+00:00,2026-08-01,2026-08-01_001200,scanner,run_scanner,,19.21,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:18:12.310222+00:00,2026-08-01,2026-08-01_001740,scanner,run_scanner,,32.15,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:20:08.292426+00:00,2026-08-01,2026-08-01_001941,scanner,run_scanner,,26.33,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:22:28.349131+00:00,2026-08-01,2026-08-01_002154,scanner,run_scanner,,34.17,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:49:30.403668+00:00,2026-08-01,2026-08-01_004915,scanner,run_scanner,,14.49,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:51:50.373845+00:00,2026-08-01,2026-08-01_005133,scanner,run_scanner,,17.1,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:54:25.240781+00:00,2026-08-01,2026-08-01_005410,scanner,run_scanner,,15.18,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:57:06.857361+00:00,2026-08-01,2026-08-01_005650,scanner,run_scanner,,15.95,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:18:32.526175+00:00,2026-08-01,2026-08-01_091829,scanner,run_scanner,,3.2,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:18:35.777377+00:00,,,telegram,send_telegram_alert,,1.4481,{}
2026-08-01T13:20:52.777693+00:00,2026-08-01,2026-08-01_092049,scanner,run_scanner,,2.92,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:31:39.125693+00:00,2026-08-01,2026-08-01_093135,scanner,run_scanner,,3.24,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:40:56.848801+00:00,2026-08-01,2026-08-01_094049,scanner,run_scanner,,7.42,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:46:37.547835+00:00,2026-08-01,2026-08-01_094627,scanner,run_scanner,,10.04,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T14:11:00.576470+00:00,2026-08-01,2026-08-01_101056,scanner,run_scanner,,4.3,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T14:11:59.182002+00:00,2026-08-01,2026-08-01_101156,scanner,run_scanner,,2.57,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T14:27:31.635248+00:00,2026-08-01,2026-08-01_102728,scanner,run_scanner,,2.65,"{""symbols"": 26, ""workers"": 5}"
