timestamp,trading_day,runtime,health_score,polygon_requests,polygon_cache_hits,polygon_cache_misses,cache_hit_pct,average_api_time,average_cache_read_time,background_pending_jobs,background_completed_jobs,background_failed_jobs,background_queue_depth,background_longest_job_time,background_longest_job_name,background_average_job_time,workers,requests,exceptions,symbols_completed,symbols_failed,average_symbol_runtime
2026-07-31T00:39:13.274546-04:00,2026-07-31,56.81,95,,,,,,,,,,,,,,5,26,0,26,0,2.04
2026-07-31T00:41:29.444139-04:00,2026-07-31,54.89,95,,,,,,,,,,,,,,5,26,0,26,0,1.97
2026-07-31T00:53:17.166010-04:00,2026-07-31,55.02,95,,,,,,,,,,,,,,5,26,0,26,0,1.98
2026-07-31T01:12:55.553936-04:00,2026-07-31,55.76,95,,,,,,,,,,,,,,5,26,0,26,0,2.01
