trading_day,scan_id,observed_at,stage,seconds
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Paper session lifecycle,1.519
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Market Data,1.5199
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Dashboard,0.4712
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Paper position lifecycle,16.3619
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Auto paper entries,0.5178
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Telegram,1.4794
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Entry/Exit V2 Shadow,0.0962
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Learning Engine,1.6121
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Quote attribution,0.0148
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Market opportunity audit,0.0264
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Option liquidity audit,0.0002
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Candidate funnel,0.0039
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Dashboard state,0.5831
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Engine Health,0.0577
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Candidate snapshot,0.9445
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Signal lifecycle,0.2023
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Recommendation outcomes,0.9609
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Candidate evidence,5.9677
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Candidate intelligence,0.51
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Activity trace,0.6214
2026-08-08,2026-08-08_102309,2026-08-08T10:23:15.719878-04:00,Excel scanner_output,11.016
2026-08-08,2026-08-08_102316,2026-08-08T10:23:20.967131-04:00,Paper session lifecycle,0.1583
2026-08-08,2026-08-08_102316,2026-08-08T10:23:20.967131-04:00,Market Data,1.236
2026-08-08,2026-08-08_102316,2026-08-08T10:23:20.967131-04:00,Dashboard,0.3175
2026-08-08,2026-08-08_102316,2026-08-08T10:23:20.967131-04:00,Paper position lifecycle,0.0749
2026-08-08,2026-08-08_102316,2026-08-08T10:23:20.967131-04:00,Auto paper entries,0.0528
2026-08-08,2026-08-08_102316,2026-08-08T10:23:20.967131-04:00,Telegram,0.716
2026-08-08,2026-08-08_102316,2026-08-08T10:23:20.967131-04:00,Entry/Exit V2 Shadow,0.1455
