trade_key,symbol,direction,setup,entry_time,entry_price,stop_price,target_price,holding_profile,status,entry_option_bid,entry_option_ask,entry_option_mid,entry_option_spread_pct,exit_time,exit_price,exit_reason,r_multiple,outcome,exit_option_bid,exit_option_ask,exit_option_mid,exit_option_spread_pct,option_pnl_pct,option_pnl_pct_net,option_pricing_basis
AAPL|PUT|VWAP_REJECTION,AAPL,PUT,VWAP_REJECTION,2026-08-05 13:50:25.363052+00:00,307.29,308.97,303.91,INTRADAY,CLOSED,5.45,5.7,5.575,4.39,2026-08-05 13:55:27.141455+00:00,307.79,TARGET_HIT,2.01,WIN,5.2,5.5,5.35,5.45,-4.04,-8.77,quoted
SMCI|PUT|VWAP_REJECTION,SMCI,PUT,VWAP_REJECTION,2026-08-05 14:11:05.646131+00:00,31.04,31.4,30.33,INTRADAY,CLOSED,1.97,2.08,2.025,5.29,2026-08-05 14:15:24.645656+00:00,31.03,TARGET_HIT,1.97,WIN,1.96,2.04,2.0,3.92,-1.23,-5.77,quoted
